#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
0972-0685616	315.125109	+07.221345	 82	 95	1981.6	     0	     0	4	20.59	     	20.70	19.03	19.08
0972-0685617	315.125773	+07.295689	165	286	1982.4	    34	   -10	4	     	19.75	21.01	19.43	18.72
0972-0685618	315.126534	+07.209139	 42	110	1976.0	    -4	     0	5	18.35	16.91	17.50	16.47	16.22
0972-0685619	315.127928	+07.275131	125	 25	1981.6	     0	     0	4	     	19.64	20.84	19.47	18.34
0972-0685620	315.128162	+07.226478	902	819	1992.6	     0	     0	2	     	     	     	20.10	18.65
0972-0685621	315.128575	+07.267589	999	666	1978.3	   330	    92	3	     	20.04	21.06	20.68	
0972-0685622	315.128575	+07.299889	 70	 95	1976.0	     6	    -4	5	17.92	16.99	17.36	16.63	16.41
0972-0685623	315.130262	+07.218634	132	 47	1976.0	    -2	     8	5	17.87	16.44	17.09	16.04	15.90
0972-0685624	315.131153	+07.278209	 72	102	1976.0	    14	   -10	5	20.26	18.75	19.25	18.46	18.26
0972-0685625	315.131184	+07.253764	  2	999	1992.9	   -62	  -214	3	     	     	20.96	20.03	19.24
0972-0685626	315.131195	+07.229617	 55	 38	1976.0	     0	     0	5	17.81	16.91	17.04	16.49	16.72
0972-0685627	315.131542	+07.224784	 56	294	1979.3	     6	   426	3	20.72	     	20.92	19.97	
0972-0685628	315.131587	+07.226689	 78	 54	1976.0	     0	     0	5	19.97	18.90	19.08	18.55	18.51
0972-0685629	315.131912	+07.233717	999	134	1994.0	     0	     0	2	     	     	20.45	     	18.95
0972-0685630	315.132250	+07.233806	322	165	1976.0	     0	     0	5	20.56	19.38	20.45	19.20	18.64
0972-0685631	315.132842	+07.225767	126	 63	1992.9	     0	     0	3	     	     	21.10	19.96	18.95
0972-0685632	315.132925	+07.256359	183	 47	1978.3	    14	   -12	3	     	19.20	19.78	18.82	
0972-0685633	315.133150	+07.256270	161	119	1976.0	   -28	     6	5	20.55	19.01	19.35	17.89	17.26
0972-0685634	315.133542	+07.211695	110	 41	1976.0	     0	   -14	5	19.43	18.30	18.23	17.51	17.68
0972-0685635	315.133714	+07.216403	121	 75	1976.0	    -2	     8	5	19.83	17.62	18.76	17.12	16.60
0972-0685636	315.133862	+07.227620	 46	 72	1976.0	     0	     0	5	20.02	19.21	19.60	18.47	18.24
0972-0685637	315.134353	+07.298434	225	 64	1976.0	     0	     0	5	15.29	13.89	14.29	13.74	13.44
0972-0685638	315.134445	+07.200950	287	302	1971.4	   -38	   -38	4	20.61	19.99	20.58	20.53	
0972-0685639	315.135170	+07.274298	999	999	1973.6	     0	     0	2	     	19.09	14.71	     	
0972-0685640	315.135173	+07.255431	284	 93	1983.1	     0	     0	4	     	19.81	21.04	19.99	18.86
0972-0685641	315.135203	+07.273600	202	 70	1976.0	     6	     6	5	15.36	14.05	14.53	13.60	13.26
0972-0685642	315.135500	+07.205323	 66	 53	1976.0	     0	     0	5	20.39	18.23	19.66	17.65	17.54
0972-0685643	315.135787	+07.298725	398	 60	1973.2	    10	     6	4	17.32	16.38	     	15.87	15.69
0972-0685644	315.136009	+07.220073	 66	 61	1976.0	     0	     0	5	18.79	17.97	18.09	17.16	17.38
0972-0685645	315.136220	+07.224442	 90	 77	1976.0	     0	     0	5	20.10	19.65	19.89	18.99	19.11
0972-0685646	315.136912	+07.249525	 76	 75	1976.0	     0	     0	5	19.27	17.55	18.38	17.17	16.98
0972-0685647	315.137437	+07.278098	136	 95	1979.7	     0	     0	3	     	19.99	     	20.03	19.21
0972-0685648	315.137637	+07.228967	 61	 24	1976.0	    -4	     4	5	18.08	17.05	17.35	16.53	16.41
0972-0685649	315.137673	+07.274078	231	 32	1976.0	     0	     0	5	17.54	16.47	16.20	15.71	15.79
0972-0685650	315.138287	+07.282178	 57	131	1976.0	     0	     0	5	20.23	19.49	19.69	19.13	18.95
0972-0685651	315.138992	+07.269489	 32	 72	1976.0	     0	     0	5	19.90	19.21	19.11	18.36	18.79
0972-0685652	315.140048	+07.271656	113	 72	1976.0	     0	     0	5	19.62	18.66	18.73	18.06	17.90
0972-0685653	315.140050	+07.264939	212	123	1976.0	     0	     0	5	20.33	18.88	19.69	18.96	18.76
0972-0685654	315.143887	+07.287962	218	533	1982.4	     0	     0	4	     	19.60	21.03	19.97	18.74
0972-0685655	315.145392	+07.254050	219	 63	1982.4	   -22	   -12	4	     	19.63	21.02	19.40	18.96
0972-0685656	315.145520	+07.289798	172	127	1976.0	     0	     0	5	20.73	20.02	21.47	19.97	19.24
0972-0685657	315.145709	+07.236923	297	 69	1991.1	     0	     0	2	     	     	     	20.57	19.19
0972-0685658	315.146873	+07.268006	129	 24	1981.6	   -36	    -8	4	     	19.58	19.30	18.26	18.35
0972-0685659	315.147564	+07.236584	128	194	1989.0	     0	     0	2	     	     	21.17	20.00	
0972-0685660	315.148095	+07.280120	170	124	1976.0	     0	     0	5	19.38	18.53	18.31	18.09	17.31
0972-0685661	315.148178	+07.248450	406	103	1976.0	     0	     0	5	20.73	19.32	21.25	19.29	18.41
0972-0685662	315.148456	+07.223128	982	999	1974.2	     0	     0	2	     	20.05	     	     	18.93
0972-0685663	315.148553	+07.268784	387	296	1976.6	   128	    62	5	19.94	18.50	20.34	19.70	19.01
0972-0685664	315.148978	+07.223262	122	 66	1976.0	     0	     0	5	19.60	18.81	18.82	18.46	18.06
0972-0685665	315.149353	+07.296537	373	145	1978.7	   -10	   -24	3	     	19.80	     	20.27	18.91
0972-0685666	315.149739	+07.269809	130	416	1990.9	   -62	    14	3	     	     	21.61	19.81	18.80
0972-0685667	315.150014	+07.211900	144	 38	1981.6	    -4	    -6	4	     	19.43	21.46	19.48	17.96
0972-0685668	315.150814	+07.207514	248	 49	1976.0	    -2	     4	5	18.49	17.12	17.31	16.69	16.58
0972-0685669	315.151173	+07.234984	982	854	1992.6	     0	     0	2	     	     	     	19.73	19.03
0972-0685670	315.151239	+07.236367	232	207	1981.6	     0	     0	4	     	19.77	20.41	18.85	18.18
0972-0685671	315.152117	+07.265120	181	 98	1976.6	     0	     0	5	20.72	19.80	20.73	19.79	18.75
0972-0685672	315.152695	+07.235273	 87	105	1976.0	     0	     0	5	19.70	19.28	18.84	18.17	18.72
0972-0685673	315.153406	+07.279406	 54	209	1976.0	   -12	    -6	5	20.21	19.53	20.11	19.12	18.64
0972-0685674	315.154131	+07.246398	 58	 36	1976.0	    18	     0	5	16.43	14.98	15.59	14.75	14.07
0972-0685675	315.154370	+07.253437	120	 31	1976.0	    -4	    -8	5	18.12	16.96	17.20	16.46	16.48
0972-0685676	315.154459	+07.208950	  4	234	1992.0	     0	     0	2	     	     	20.84	20.07	
0972-0685677	315.155234	+07.282728	158	 89	1976.6	     0	     0	5	20.70	19.43	20.52	19.05	18.25
0972-0685678	315.155348	+07.236892	 61	183	1990.9	     0	     0	3	     	     	21.54	19.63	19.18
0972-0685679	315.155923	+07.216667	164	 50	1976.0	     0	     0	5	20.21	19.57	20.23	19.40	18.81
0972-0685680	315.158134	+07.299337	107	107	1976.0	     0	     0	5	20.36	19.59	19.94	18.99	18.51
0972-0685681	315.158625	+07.265728	112	 47	1976.0	     0	     0	5	20.48	19.47	19.76	19.18	18.83
0972-0685682	315.158689	+07.255962	198	680	1972.2	     0	     0	2	     	19.08	     	19.35	
0972-0685683	315.158887	+07.259489	  0	  0	2000.0	    -2	    -6	0	13.06	11.34	12.42	11.28	10.82
0972-0685684	315.159167	+07.282198	355	378	1982.4	     0	     0	4	     	19.78	21.04	20.23	19.20
0972-0685685	315.159853	+07.263798	999	444	1992.0	     0	     0	2	     	     	20.88	17.57	
0972-0685686	315.159884	+07.225384	 16	226	1977.3	     4	    10	3	20.45	     	20.13	19.45	
0973-0691623	314.791631	+07.302095	191	169	1981.6	     0	     0	4	     	18.48	19.06	18.14	18.69
0973-0691624	314.793242	+07.358812	 51	236	1976.0	     6	     6	5	19.73	18.84	19.37	18.61	18.79
0973-0691625	314.793725	+07.316320	999	999	1981.6	  -328	   418	4	     	19.92	21.16	20.40	19.14
0973-0691626	314.793725	+07.341712	126	 40	1976.0	    -8	     4	5	20.18	19.36	19.61	18.96	19.04
0973-0691627	314.793795	+07.363617	 85	 34	1976.0	     0	     0	5	18.14	17.04	17.27	16.73	16.53
0973-0691628	314.794637	+07.355770	 24	184	1990.6	     0	     0	2	     	     	20.75	20.43	
0973-0691629	314.796117	+07.365698	367	103	1976.0	     0	   -10	5	20.70	19.64	20.69	20.23	19.24
0973-0691630	314.796287	+07.391506	441	 34	1990.6	     0	     0	2	     	     	21.03	20.96	
0973-0691631	314.797162	+07.360581	 86	170	1976.0	    14	   -10	5	19.74	18.83	18.79	18.20	18.01
0973-0691632	314.797475	+07.330681	 94	139	1990.6	     0	     0	2	     	     	21.09	20.43	
0973-0691633	314.798028	+07.325470	102	225	1977.3	     0	     0	3	     	19.89	20.16	19.95	
0973-0691634	314.800042	+07.365509	 62	 46	1976.0	     0	     0	5	17.69	15.69	16.52	15.39	14.83
0973-0691635	314.800087	+07.392453	406	 40	1992.0	     0	     0	2	     	     	21.02	20.09	
0973-0691636	314.801087	+07.321250	144	 22	1981.6	     0	     0	4	     	19.95	20.56	19.70	18.81
0973-0691637	314.802095	+07.333531	317	 10	1991.1	     0	     0	2	     	     	     	20.77	18.87
0973-0691638	314.803662	+07.356464	221	139	1991.9	     0	     0	3	     	     	20.33	20.54	19.21
0973-0691639	314.804414	+07.382375	 52	110	1976.2	   -10	   -10	5	17.65	14.87	16.58	14.73	14.20
0973-0691640	314.804642	+07.384725	999	999	1972.1	     0	     0	2	     	19.98	21.30	     	
0973-0691641	314.805662	+07.350192	  0	749	1979.3	  -374	   266	3	     	20.02	21.09	20.09	
0973-0691642	314.805987	+07.315428	 97	 52	1976.0	     0	     0	5	19.79	18.25	18.63	17.72	17.73
0973-0691643	314.805998	+07.318898	 89	214	1992.6	     0	     0	2	     	     	     	19.99	19.24
0973-0691644	314.806087	+07.396400	134	 30	1982.4	     0	     0	4	     	19.88	21.09	20.08	18.63
0973-0691645	314.807114	+07.324650	114	233	1971.4	    10	    -8	4	20.42	19.97	20.43	19.92	
0973-0691646	314.807548	+07.390642	128	999	1991.1	     0	     0	2	     	     	     	20.59	18.76
0973-0691647	314.807881	+07.341698	999	999	1990.9	     0	     0	3	     	     	21.06	20.96	18.94
0973-0691648	314.808964	+07.302564	177	 62	1976.0	     0	     0	5	20.25	19.64	20.40	19.34	19.04
0973-0691649	314.809353	+07.370656	101	 59	1976.0	    -8	     6	5	18.10	16.69	17.16	16.38	16.10
0973-0691650	314.809570	+07.313448	 76	 60	1976.0	    -4	     4	5	19.38	18.77	18.55	17.83	17.97
0973-0691651	314.810295	+07.398528	175	 37	1981.8	    12	    18	4	     	19.43	21.28	19.64	17.39
0973-0691652	314.810370	+07.322289	109	 81	1976.0	     6	    10	5	18.20	16.50	17.21	16.08	15.37
0973-0691653	314.810509	+07.380717	 48	239	1981.8	     0	     0	4	     	20.01	21.19	20.07	19.12
0973-0691654	314.811648	+07.341298	 69	102	1976.0	     0	     0	5	19.70	18.49	18.63	17.81	17.76
0973-0691655	314.813128	+07.385239	105	 45	1976.2	    -4	     4	5	20.06	19.65	19.48	18.93	18.69
0973-0691656	314.813134	+07.336928	 32	999	1978.3	    24	   376	3	20.72	     	21.08	20.27	
0973-0691657	314.813373	+07.369653	169	 90	1976.0	     0	     0	5	20.56	19.74	20.78	20.24	19.17
0973-0691658	314.813703	+07.380948	 94	135	1976.2	     0	     0	5	19.62	18.77	18.56	18.52	18.59
0973-0691659	314.814631	+07.389498	168	 45	1991.1	     0	     0	2	     	     	     	20.39	19.09
0973-0691660	314.815137	+07.366173	 33	288	1977.3	   -58	   -50	3	     	20.04	21.47	20.36	
0973-0691661	314.815270	+07.324992	 24	 80	1981.6	     0	     0	4	20.65	     	20.67	19.35	18.67
0973-0691662	314.815573	+07.347334	326	156	1976.0	    28	    -4	5	20.57	19.88	20.56	19.97	19.03
0973-0691663	314.815575	+07.360100	 53	 46	1976.0	     0	     0	5	20.23	19.24	20.07	18.83	18.50
0973-0691664	314.816809	+07.390870	131	160	1976.0	     0	     0	5	20.71	19.81	20.90	19.35	18.98
0973-0691665	314.818000	+07.314859	 54	320	1974.2	     0	     0	2	     	19.74	     	     	19.14
0973-0691666	314.818028	+07.353184	 66	 76	1976.0	     0	     0	5	18.54	17.00	17.49	16.83	16.84
0973-0691667	314.818578	+07.392037	999	999	1973.6	     0	     0	2	     	20.04	19.14	     	
0973-0691668	314.818587	+07.331773	 53	 82	1981.6	     0	     0	4	     	19.12	20.02	19.15	18.90
0973-0691669	314.818664	+07.345898	162	 77	1977.3	     0	     0	3	20.46	     	20.37	20.06	
0973-0691670	314.818853	+07.349423	168	325	1992.6	     0	     0	2	     	     	     	20.10	19.13
0973-0691671	314.819487	+07.302625	 67	 62	1976.0	     4	     6	5	18.41	16.57	17.24	16.30	15.73
0973-0691672	314.819689	+07.317739	793	  0	1972.1	     0	     0	2	20.64	     	21.12	     	
0973-0691673	314.820056	+07.317331	441	999	1972.1	     0	     0	2	     	19.36	21.09	     	
0973-0691674	314.820473	+07.315581	 55	156	1976.0	     0	     0	5	18.37	17.00	16.01	16.06	16.31
0973-0691675	314.820831	+07.335842	 48	 25	1976.0	     0	     0	5	17.16	15.30	16.17	15.08	14.34
0973-0691676	314.821139	+07.324614	169	 73	1976.0	     0	     0	5	20.35	19.95	20.22	19.59	19.01
0973-0691677	314.821306	+07.327867	178	515	1973.6	     0	     0	2	20.68	     	21.09	     	
0973-0691678	314.821548	+07.383870	 61	160	1976.2	     0	     0	5	18.99	17.21	17.74	17.00	17.11
0973-0691679	314.822253	+07.361164	999	999	1992.6	     0	     0	2	     	     	     	19.17	19.18
0973-0691680	314.822273	+07.352853	 32	137	1976.0	     0	     0	5	19.86	19.06	19.52	18.94	18.85
0973-0691681	314.822428	+07.361492	189	123	1976.0	     0	     0	5	20.72	19.35	20.33	19.25	18.50
0973-0691682	314.822537	+07.308831	 37	173	1990.9	     0	     0	3	     	     	20.92	20.96	19.24
0973-0691683	314.822878	+07.379295	110	189	1976.2	   -26	   -14	5	20.69	18.59	20.02	18.38	17.22
0973-0691684	314.823475	+07.317731	213	124	1976.0	    10	    14	5	19.99	18.40	19.23	17.79	17.47
0973-0691685	314.824587	+07.368000	107	136	1971.4	     0	     0	4	20.63	19.80	20.90	20.00	
0973-0691686	314.824664	+07.362787	138	 34	1990.5	     0	     0	2	     	     	21.54	20.10	
0973-0691687	314.825014	+07.315212	174	282	1977.3	     0	     0	3	     	19.63	21.19	20.82	
0973-0691688	314.825150	+07.365628	 12	384	1978.7	    20	    -8	3	     	20.03	     	20.87	19.13
0973-0691689	314.825823	+07.398109	118	181	1982.6	     0	     0	4	     	19.89	20.89	20.23	19.12
0973-0691690	314.826250	+07.329475	276	498	1981.6	   -52	   -26	4	     	19.70	19.92	18.76	18.41
0973-0691691	314.827687	+07.378734	148	 10	1972.1	     0	     0	2	20.73	     	21.46	     	
0973-0691692	314.828137	+07.375475	447	204	1992.2	     0	     0	3	     	     	20.95	20.20	18.86
0973-0691693	314.828873	+07.378139	 26	474	1978.3	    78	   -36	3	20.73	     	20.91	20.16	
0973-0691694	314.829400	+07.398209	 97	 75	1976.2	     0	     0	5	20.42	19.49	20.01	18.88	18.69
0973-0691695	314.829606	+07.327175	 35	 39	1976.0	     0	     0	5	20.56	18.78	20.21	17.92	17.86
0973-0691696	314.829734	+07.392223	999	671	1978.3	  -776	   -84	3	     	20.04	21.08	20.66	
0973-0691697	314.829928	+07.354400	143	 79	1977.3	     2	     8	3	     	19.71	20.73	20.61	
0973-0691698	314.829970	+07.386345	526	420	1977.3	  -304	   168	3	     	19.36	20.51	20.83	
0973-0691699	314.830256	+07.387498	 74	115	1976.2	     0	     0	5	20.23	19.60	19.72	18.99	18.98
0973-0691700	314.830437	+07.342920	 37	188	1982.3	   -12	     0	4	     	20.02	21.66	19.92	19.13
0973-0691701	314.830639	+07.363456	291	 70	1976.0	   -20	   -14	5	20.33	18.77	19.42	17.89	17.45
0973-0691702	314.830837	+07.324031	 59	 48	1976.0	     0	     0	5	18.41	16.74	17.39	16.43	15.68
0973-0691703	314.830853	+07.304320	120	 63	1976.0	    -2	    -8	5	17.90	16.65	16.83	16.39	15.96
0973-0691704	314.832014	+07.366248	116	118	1981.6	     0	     0	4	     	19.47	21.49	19.63	19.05
0973-0691705	314.832317	+07.393353	633	999	1965.9	   184	   408	3	20.51	20.05	21.72	     	
0973-0691706	314.832609	+07.326556	153	 13	1978.7	    16	     2	3	     	18.37	     	17.92	16.74
0973-0691707	314.832903	+07.381606	 21	 93	1976.2	   -84	   -98	5	17.00	14.01	15.85	14.01	12.96
0973-0691708	314.832939	+07.326656	441	 49	1976.0	   -40	     2	5	20.06	18.36	19.21	17.05	16.85
0973-0691709	314.833509	+07.377092	 74	 49	1992.0	     0	     0	2	     	     	21.10	19.85	
0973-0691710	314.833578	+07.389245	225	483	1982.6	     0	     0	4	     	19.39	21.07	20.37	19.09
0973-0691711	314.833853	+07.376984	433	 48	1981.8	     0	     0	4	     	19.72	21.41	20.33	18.67
0973-0691712	314.834209	+07.376728	 74	629	1974.2	     0	     0	2	     	19.84	     	     	18.94
0973-0691713	314.834445	+07.376717	234	 25	1981.8	    50	    -6	4	     	19.93	21.88	19.49	19.13
0973-0691714	314.834673	+07.318709	146	124	1976.0	     0	     0	5	20.72	20.03	21.64	20.40	19.13
0973-0691715	314.835392	+07.331353	171	113	1976.0	    30	     6	5	20.49	18.40	19.99	18.22	17.13
0973-0691716	314.835470	+07.357392	251	 48	1980.6	  -200	  -160	3	     	20.01	21.09	     	19.22
0973-0691717	314.836300	+07.324581	 78	 65	1976.0	     0	     0	5	18.39	16.87	17.48	16.70	16.64
0973-0691718	314.836417	+07.365503	313	999	1978.7	  -108	   466	3	     	20.05	     	20.44	18.88
0973-0691719	314.836514	+07.340342	302	 24	1967.3	     6	    16	3	20.40	19.62	     	     	18.23
0973-0691720	314.836542	+07.353187	172	 59	1982.4	     0	     0	4	     	19.99	21.10	20.83	18.83
0973-0691721	314.836759	+07.340309	609	 51	1981.6	    -6	    14	4	     	19.45	19.82	18.53	18.78
0973-0691722	314.837098	+07.340639	999	999	1965.9	     0	     0	3	20.73	19.36	21.92	     	
0973-0691723	314.838478	+07.351548	 73	153	1976.0	     0	     0	5	19.65	17.65	18.37	17.13	17.08
0973-0691724	314.838614	+07.397987	 48	187	1976.2	     6	    -4	5	19.58	18.29	19.04	17.74	17.31
0973-0691725	314.839003	+07.357231	317	263	1976.0	     0	     0	5	20.71	19.75	20.28	19.29	19.21
0973-0691726	314.839237	+07.323020	 94	 42	1976.0	     0	     0	5	20.40	19.30	19.91	19.30	18.84
0973-0691727	314.839753	+07.375484	 47	 81	1976.2	     0	     0	5	20.17	18.27	19.00	17.81	17.85
0973-0691728	314.839948	+07.350139	 61	 96	1981.6	     0	     0	4	     	19.58	20.80	19.03	18.07
0973-0691729	314.840187	+07.394053	155	 78	1976.2	     0	     0	5	20.00	19.33	19.57	19.06	19.13
0973-0691730	314.841009	+07.370514	 62	 78	1976.0	     0	     0	5	20.68	18.94	20.30	18.66	18.19
0973-0691731	314.841850	+07.322112	 74	 45	1976.0	     0	     0	5	20.15	19.27	19.70	18.70	18.52
0973-0691732	314.841923	+07.316937	200	 88	1976.0	    -2	    12	5	20.73	19.05	20.51	18.31	17.42
0973-0691733	314.842809	+07.300323	131	 79	1976.0	    18	     0	5	18.65	16.69	17.49	16.34	15.62
0973-0691734	314.843742	+07.305917	362	120	1976.0	     4	    10	5	20.73	19.12	20.28	19.19	18.83
0973-0691735	314.845056	+07.304906	 95	 99	1976.0	     0	     0	5	20.41	19.40	19.89	19.46	18.94
0973-0691736	314.845153	+07.358756	133	 59	1976.0	     4	     8	5	17.57	16.23	16.65	15.83	15.62
0973-0691737	314.845195	+07.349548	 70	161	1976.0	    10	     2	5	18.73	17.66	17.90	17.30	17.25
0973-0691738	314.845734	+07.366292	 76	 45	1976.0	     0	     0	5	20.13	17.84	19.30	17.37	16.72
0973-0691739	314.846575	+07.394509	 82	 24	1976.2	     0	     0	5	19.68	19.80	19.65	19.27	18.90
0973-0691740	314.846578	+07.381125	703	437	1979.3	     0	     0	3	     	19.90	21.08	20.08	
0973-0691741	314.847050	+07.398278	306	 61	1977.3	    10	     6	3	     	20.00	21.34	20.90	
0973-0691742	314.847073	+07.370592	999	562	1978.7	  -320	   -40	3	     	19.96	     	20.83	19.19
0973-0691743	314.847423	+07.318862	 88	213	1976.0	    10	    -2	5	20.71	18.71	20.34	18.42	17.07
0973-0691744	314.847503	+07.381003	745	169	1982.6	    38	   -26	4	     	20.04	21.08	20.89	19.22
0973-0691745	314.849017	+07.395531	105	175	1976.2	     0	     0	5	20.36	19.29	19.68	19.03	18.91
0973-0691746	314.849298	+07.316839	275	599	1990.9	  -624	   558	3	     	     	21.73	20.04	19.23
0973-0691747	314.849439	+07.355239	114	494	1989.0	     0	     0	2	     	     	21.56	20.96	
0973-0691748	314.851042	+07.386445	 96	 61	1981.6	     0	     0	4	     	19.69	21.11	19.32	18.83
0973-0691749	314.851062	+07.307928	 77	 57	1976.0	     0	     0	5	19.79	19.10	18.54	18.29	18.22
0973-0691750	314.851120	+07.315120	999	 80	1992.5	     0	     0	2	     	     	21.86	     	19.06
0973-0691751	314.851342	+07.319273	312	 54	1992.6	     0	     0	2	     	     	     	20.09	19.24
0973-0691752	314.851398	+07.369603	 30	 91	1981.6	   -14	     2	4	     	19.10	20.34	18.70	17.47
0973-0691753	314.851692	+07.315023	278	579	1991.9	   302	   -56	3	     	     	20.72	20.23	18.42
0973-0691754	314.851906	+07.335628	193	329	1989.0	     0	     0	2	     	     	21.38	20.96	
0973-0691755	314.852223	+07.323920	117	217	1976.0	     0	     0	5	20.45	20.05	20.43	20.35	19.23
0973-0691756	314.852525	+07.384359	510	230	1982.4	     0	     0	4	20.58	     	20.46	20.56	18.98
0973-0691757	314.852614	+07.347473	108	 52	1976.0	     0	     0	5	20.63	18.96	20.00	18.65	18.26
0973-0691758	314.852825	+07.372995	999	999	1970.7	     0	     0	2	20.71	     	     	20.96	
0973-0691759	314.853070	+07.384664	156	184	1976.8	     0	     0	5	20.67	20.03	21.09	19.93	19.16
0973-0691760	314.853289	+07.381809	247	129	1976.2	     0	     0	5	20.63	19.84	20.81	19.84	19.26
0973-0691761	314.855539	+07.351884	165	 93	1976.0	     0	     0	5	19.73	17.15	18.85	16.89	16.32
0973-0691762	314.856198	+07.335039	111	 69	1976.0	     0	     0	5	19.99	18.59	19.07	18.32	18.26
0973-0691763	314.856412	+07.309717	 28	 76	1971.4	     0	     0	4	19.33	18.17	18.24	17.69	
0973-0691764	314.856787	+07.309475	999	555	1974.2	     0	     0	2	     	19.99	     	     	17.61
0973-0691765	314.857070	+07.355250	166	145	1976.0	     0	     0	5	20.64	19.83	20.07	19.50	19.16
0973-0691766	314.858945	+07.304431	 78	284	1990.9	     0	     0	3	     	     	21.58	20.11	19.22
0973-0691767	314.859187	+07.317598	143	170	1981.6	     0	     0	4	     	19.85	21.37	19.67	19.23
0973-0691768	314.859778	+07.335089	172	 79	1976.0	     0	     0	5	20.22	19.73	19.76	19.26	19.12
0973-0691769	314.860612	+07.343920	121	 39	1976.0	     0	     0	5	18.75	17.53	17.83	17.20	17.24
0973-0691770	314.860748	+07.301489	999	999	1990.6	     0	     0	2	     	     	21.09	20.39	
0973-0691771	314.861123	+07.395014	 44	240	1976.2	    -8	    10	5	20.52	19.70	20.14	19.64	19.44
0973-0691772	314.861170	+07.383059	210	 67	1981.8	     0	     0	4	     	19.37	21.03	19.01	18.70
0973-0691773	314.861298	+07.323131	 19	999	1990.6	     0	     0	2	     	     	21.09	20.44	
0973-0691774	314.861884	+07.362881	 38	  3	1978.7	    14	    20	3	     	20.04	     	19.86	18.50
0973-0691775	314.862198	+07.363903	 79	105	1991.1	     0	     0	2	     	     	     	19.35	18.08
0973-0691776	314.862287	+07.379998	120	167	1976.2	     0	     0	5	20.73	19.71	20.82	19.47	18.57
0973-0691777	314.863106	+07.323862	130	107	1976.0	    12	    14	5	17.88	15.74	16.89	15.49	14.72
0973-0691778	314.863942	+07.330684	 29	169	1990.6	     0	     0	2	     	     	21.00	20.27	
0973-0691779	314.864675	+07.315678	 71	 37	1976.0	     0	     0	5	20.64	19.54	20.02	19.29	19.05
0973-0691780	314.865250	+07.386198	216	 66	1976.2	   -10	     4	5	19.70	18.00	19.06	17.53	17.12
0973-0691781	314.865859	+07.368187	163	315	1991.1	     0	     0	2	     	     	     	20.63	19.14
0973-0691782	314.868648	+07.336181	191	365	1976.0	   -22	    -8	5	19.48	18.47	18.71	17.96	18.56
0973-0691783	314.868945	+07.336409	242	 79	1990.6	     0	     0	2	     	     	18.44	17.35	
0973-0691784	314.869300	+07.321237	 29	279	1977.3	    12	    16	3	20.71	     	21.34	20.96	
0973-0691785	314.869523	+07.311312	198	 61	1976.0	    -4	     4	5	20.34	19.33	19.81	19.32	19.05
0973-0691786	314.869659	+07.392675	173	204	1976.2	    -4	   -28	5	20.69	19.62	20.65	19.57	18.86
0973-0691787	314.869948	+07.337498	 79	394	1976.0	    -8	    -2	5	17.83	16.92	16.48	16.05	16.53
